-100	0	0.84975
-100	5.2443	0.85157
-100	10.479	0.8565
-100	15.694	0.86419
-100	20.883	0.87413
-100	26.04	0.8857
-100	31.162	0.89828
-100	36.248	0.9113
-100	41.298	0.92428
-100	46.313	0.93684
-100	51.296	0.94868
-100	56.249	0.95961
-100	61.175	0.96948
-100	66.078	0.97822
-100	70.96	0.98578
-100	75.826	0.99215
-100	80.677	0.99733
-100	85.517	1.0013
-100	90.349	1.0042
-100	95.176	1.0059
-100	100	1.0065
-94.39	0	0.84784
-94.397	5.2504	0.84974
-94.413	10.49	0.85491
-94.439	15.71	0.86296
-94.471	20.902	0.87329
-94.508	26.061	0.88523
-94.547	31.184	0.89815
-94.587	36.269	0.91145
-94.625	41.318	0.92464
-94.662	46.332	0.93735
-94.695	51.313	0.9493
-94.726	56.264	0.96028
-94.753	61.188	0.97018
-94.777	66.089	0.97893
-94.797	70.97	0.98648
-94.814	75.834	0.99284
-94.827	80.683	0.99801
-94.838	85.522	1.002
-94.845	90.352	1.0049
-94.849	95.178	1.0066
-94.851	100	1.0071
-88.768	0	0.84205
-88.782	5.2685	0.8442
-88.817	10.525	0.85012
-88.87	15.757	0.85923
-88.938	20.958	0.87075
-89.014	26.122	0.88387
-89.094	31.247	0.8978
-89.175	36.332	0.91193
-89.253	41.378	0.92576
-89.327	46.388	0.93892
-89.394	51.364	0.95116
-89.456	56.31	0.96232
-89.51	61.228	0.97231
-89.557	66.124	0.98107
-89.597	70.999	0.98861
-89.631	75.858	0.99493
-89.658	80.702	1.0001
-89.679	85.536	1.004
-89.693	90.362	1.0068
-89.702	95.182	1.0085
-89.705	100	1.0091
-83.12	0	0.83179
-83.142	5.301	0.83445
-83.199	10.586	0.8418
-83.286	15.841	0.85291
-83.394	21.057	0.86662
-83.515	26.229	0.88179
-83.64	31.356	0.89748
-83.765	36.439	0.91301
-83.886	41.48	0.92786
-83.998	46.482	0.94174
-84.101	51.449	0.95443
-84.193	56.386	0.96584
-84.275	61.295	0.97593
-84.345	66.181	0.98471
-84.405	71.048	0.99219
-84.455	75.897	0.99842
-84.496	80.733	1.0035
-84.527	85.559	1.0073
-84.548	90.377	1.0101
-84.562	95.19	1.0117
-84.566	100	1.0122
-77.428	0	0.81601
-77.461	5.3521	0.81954
-77.548	10.681	0.82942
-77.677	15.969	0.84392
-77.836	21.206	0.86112
-78.009	26.388	0.87942
-78.187	31.516	0.89767
-78.362	36.594	0.91513
-78.527	41.626	0.93135
-78.68	46.616	0.94612
-78.819	51.57	0.95935
-78.943	56.493	0.97102
-79.052	61.389	0.98118
-79.145	66.261	0.9899
-79.225	71.115	0.99727
-79.291	75.952	1.0033
-79.344	80.777	1.0082
-79.385	85.591	1.0119
-79.413	90.398	1.0146
-79.431	95.2	1.0161
-79.437	100	1.0167
-71.671	0	0.79275
-71.719	5.4299	0.79787
-71.848	10.823	0.81225
-72.036	16.155	0.83231
-72.26	21.417	0.85481
-72.499	26.608	0.87754
-72.738	31.734	0.89916
-72.968	36.802	0.91901
-73.183	41.818	0.93682
-73.379	46.791	0.95254
-73.555	51.727	0.96625
-73.71	56.631	0.97809
-73.846	61.508	0.98821
-73.962	66.364	0.99676
-74.06	71.2	1.0039
-74.141	76.022	1.0097
-74.206	80.831	1.0143
-74.256	85.631	1.0179
-74.291	90.425	1.0203
-74.313	95.213	1.0218
-74.32	100	1.0223
-65.813	0	0.75854
-65.884	5.5502	0.76671
-66.079	11.034	0.78953
-66.354	16.422	0.81872
-66.667	21.708	0.84898
-66.988	26.903	0.87755
-67.3	32.018	0.90323
-67.592	37.067	0.9257
-67.86	42.061	0.94506
-68.1	47.009	0.96157
-68.313	51.92	0.97556
-68.5	56.799	0.98733
-68.661	61.654	0.99719
-68.799	66.487	1.0054
-68.915	71.303	1.0121
-69.01	76.105	1.0175
-69.086	80.897	1.0218
-69.144	85.679	1.025
-69.186	90.456	1.0273
-69.21	95.229	1.0286
-69.218	100	1.029
-59.794	0	0.7028
-59.907	5.747	0.72133
-60.22	11.357	0.76138
-60.629	16.804	0.80538
-61.064	22.105	0.84628
-61.488	27.288	0.88181
-61.884	32.378	0.91174
-62.245	37.396	0.93658
-62.567	42.355	0.95705
-62.852	47.27	0.97388
